,Survived,Pclass,Sex,Age,Has_Cabin,Fare,Embarked,Family_Size,Title,Age_Group
266,0,3,M,16.0,0,39.6875,S,6,Mr,Teenager
267,1,3,M,25.0,0,7.775,S,2,Mr,Adult
268,1,1,F,58.0,1,153.4625,S,2,Mrs,Adult
269,1,1,F,35.0,1,135.6333,S,1,Miss,Adult
270,0,1,M,28.0,0,31.0,S,1,Mr,Adult
271,1,3,M,25.0,0,0.0,S,1,Mr,Adult
272,1,2,F,41.0,0,19.5,S,2,Mrs,Adult
273,0,1,M,37.0,1,29.7,C,2,Mr,Adult
274,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
275,1,1,F,63.0,1,77.9583,S,2,Miss,Adult
276,0,3,F,45.0,0,7.75,S,1,Miss,Adult
277,0,2,M,28.0,0,0.0,S,1,Mr,Adult
278,0,3,M,7.0,0,29.125,Q,6,Master,Child
279,1,3,F,35.0,0,20.25,S,3,Mrs,Adult
280,0,3,M,65.0,0,7.75,Q,1,Mr,Senior
281,0,3,M,28.0,0,7.8542,S,1,Mr,Adult
282,0,3,M,16.0,0,9.5,S,1,Mr,Teenager
283,1,3,M,19.0,0,8.05,S,1,Mr,Adult
284,0,1,M,28.0,1,26.0,S,1,Mr,Adult
285,0,3,M,33.0,0,8.6625,C,1,Mr,Adult
286,1,3,M,30.0,0,9.5,S,1,Mr,Adult
287,0,3,M,22.0,0,7.8958,S,1,Mr,Adult
288,1,2,M,42.0,0,13.0,S,1,Mr,Adult
289,1,3,F,22.0,0,7.75,Q,1,Miss,Adult
290,1,1,F,26.0,0,78.85,S,1,Miss,Adult
291,1,1,F,19.0,1,91.0792,C,2,Mrs,Adult
292,0,2,M,36.0,1,12.875,C,1,Mr,Adult
293,0,3,F,24.0,0,8.85,S,1,Miss,Adult
294,0,3,M,24.0,0,7.8958,S,1,Mr,Adult
295,0,1,M,28.0,0,27.7208,C,1,Mr,Adult
296,0,3,M,23.5,0,7.2292,C,1,Mr,Adult
297,0,1,F,2.0,1,151.55,S,4,Miss,Toddler
298,1,1,M,28.0,1,30.5,S,1,Mr,Adult
299,1,1,F,50.0,1,247.5208,C,2,Mrs,Adult
300,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
301,1,3,M,28.0,0,23.25,Q,3,Mr,Adult
302,0,3,M,19.0,0,0.0,S,1,Mr,Adult
303,1,2,F,28.0,1,12.35,Q,1,Miss,Adult
304,0,3,M,28.0,0,8.05,S,1,Mr,Adult
305,1,1,M,0.92,1,151.55,S,4,Master,Baby
306,1,1,F,28.0,0,110.8833,C,1,Miss,Adult
307,1,1,F,17.0,1,108.9,C,2,Mrs,Teenager
308,0,2,M,30.0,0,24.0,C,2,Mr,Adult
309,1,1,F,30.0,1,56.9292,C,1,Miss,Adult
310,1,1,F,24.0,1,83.1583,C,1,Miss,Adult
311,1,1,F,18.0,1,262.375,C,5,Miss,Adult
312,0,2,F,26.0,0,26.0,S,3,Mrs,Adult
313,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
314,0,2,M,43.0,0,26.25,S,3,Mr,Adult
315,1,3,F,26.0,0,7.8542,S,1,Miss,Adult
316,1,2,F,24.0,0,26.0,S,2,Mrs,Adult
317,0,2,M,54.0,0,14.0,S,1,Dr,Adult
318,1,1,F,31.0,1,164.8667,S,3,Miss,Adult
319,1,1,F,40.0,1,134.5,C,3,Mrs,Adult
320,0,3,M,22.0,0,7.25,S,1,Mr,Adult
321,0,3,M,27.0,0,7.8958,S,1,Mr,Adult
322,1,2,F,30.0,0,12.35,Q,1,Miss,Adult
323,1,2,F,22.0,0,29.0,S,3,Mrs,Adult
324,0,3,M,28.0,0,69.55,S,11,Mr,Adult
325,1,1,F,36.0,1,135.6333,C,1,Miss,Adult
326,0,3,M,61.0,0,6.2375,S,1,Mr,Adult
327,1,2,F,36.0,1,13.0,S,1,Mrs,Adult
328,1,3,F,31.0,0,20.525,S,3,Mrs,Adult
329,1,1,F,16.0,1,57.9792,C,2,Miss,Teenager
330,1,3,F,28.0,0,23.25,Q,3,Miss,Adult
331,0,1,M,45.5,1,28.5,S,1,Mr,Adult
332,0,1,M,38.0,1,153.4625,S,2,Mr,Adult
333,0,3,M,16.0,0,18.0,S,3,Mr,Teenager
334,1,1,F,28.0,0,133.65,S,2,Mrs,Adult
335,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
336,0,1,M,29.0,1,66.6,S,2,Mr,Adult
337,1,1,F,41.0,1,134.5,C,1,Miss,Adult
338,1,3,M,45.0,0,8.05,S,1,Mr,Adult
339,0,1,M,45.0,1,35.5,S,1,Mr,Adult
340,1,2,M,2.0,1,26.0,S,3,Master,Toddler
341,1,1,F,24.0,1,263.0,S,6,Miss,Adult
342,0,2,M,28.0,0,13.0,S,1,Mr,Adult
343,0,2,M,25.0,0,13.0,S,1,Mr,Adult
344,0,2,M,36.0,0,13.0,S,1,Mr,Adult
345,1,2,F,24.0,1,13.0,S,1,Miss,Adult
346,1,2,F,40.0,0,13.0,S,1,Miss,Adult
347,1,3,F,28.0,0,16.1,S,2,Mrs,Adult
348,1,3,M,3.0,0,15.9,S,3,Master,Child
349,0,3,M,42.0,0,8.6625,S,1,Mr,Adult
350,0,3,M,23.0,0,9.225,S,1,Mr,Adult
351,0,1,M,28.0,1,35.0,S,1,Mr,Adult
352,0,3,M,15.0,0,7.2292,C,3,Mr,Teenager
353,0,3,M,25.0,0,17.8,S,2,Mr,Adult
354,0,3,M,28.0,0,7.225,C,1,Mr,Adult
355,0,3,M,28.0,0,9.5,S,1,Mr,Adult
356,1,1,F,22.0,1,55.0,S,2,Miss,Adult
357,0,2,F,38.0,0,13.0,S,1,Miss,Adult
358,1,3,F,28.0,0,7.8792,Q,1,Miss,Adult
359,1,3,F,28.0,0,7.8792,Q,1,Miss,Adult
360,0,3,M,40.0,0,27.9,S,6,Mr,Adult
361,0,2,M,29.0,0,27.7208,C,2,Mr,Adult
362,0,3,F,45.0,0,14.4542,C,2,Mrs,Adult
363,0,3,M,35.0,0,7.05,S,1,Mr,Adult
364,0,3,M,28.0,0,15.5,Q,2,Mr,Adult
365,0,3,M,30.0,0,7.25,S,1,Mr,Adult
366,1,1,F,60.0,1,75.25,C,2,Mrs,Adult
367,1,3,F,28.0,0,7.2292,C,1,Mrs,Adult
368,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
369,1,1,F,24.0,1,69.3,C,1,Other,Adult
370,1,1,M,25.0,1,55.4417,C,2,Mr,Adult
371,0,3,M,18.0,0,6.4958,S,2,Mr,Adult
372,0,3,M,19.0,0,8.05,S,1,Mr,Adult
373,0,1,M,22.0,0,135.6333,C,1,Mr,Adult
374,0,3,F,3.0,0,21.075,S,5,Miss,Child
375,1,1,F,28.0,0,82.1708,C,2,Mrs,Adult
376,1,3,F,22.0,0,7.25,S,1,Miss,Adult
377,0,1,M,27.0,1,211.5,C,3,Mr,Adult
378,0,3,M,20.0,0,4.0125,C,1,Mr,Adult
379,0,3,M,19.0,0,7.775,S,1,Mr,Adult
380,1,1,F,42.0,0,227.525,C,1,Miss,Adult
381,1,3,F,1.0,0,15.7417,C,3,Miss,Toddler
382,0,3,M,32.0,0,7.925,S,1,Mr,Adult
383,1,1,F,35.0,0,52.0,S,2,Mrs,Adult
384,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
385,0,2,M,18.0,0,73.5,S,1,Mr,Adult
386,0,3,M,1.0,0,46.9,S,8,Master,Toddler
387,1,2,F,36.0,0,13.0,S,1,Miss,Adult
388,0,3,M,28.0,0,7.7292,Q,1,Mr,Adult
389,1,2,F,17.0,0,12.0,C,1,Miss,Teenager
390,1,1,M,36.0,1,120.0,S,4,Mr,Adult
391,1,3,M,21.0,0,7.7958,S,1,Mr,Adult
392,0,3,M,28.0,0,7.925,S,3,Mr,Adult
393,1,1,F,23.0,1,113.275,C,2,Miss,Adult
394,1,3,F,24.0,1,16.7,S,3,Mrs,Adult
395,0,3,M,22.0,0,7.7958,S,1,Mr,Adult
396,0,3,F,31.0,0,7.8542,S,1,Miss,Adult
397,0,2,M,46.0,0,26.0,S,1,Mr,Adult
398,0,2,M,23.0,0,10.5,S,1,Dr,Adult
399,1,2,F,28.0,0,12.65,S,1,Mrs,Adult
400,1,3,M,39.0,0,7.925,S,1,Mr,Adult
401,0,3,M,26.0,0,8.05,S,1,Mr,Adult
402,0,3,F,21.0,0,9.825,S,2,Miss,Adult
403,0,3,M,28.0,0,15.85,S,2,Mr,Adult
404,0,3,F,20.0,0,8.6625,S,1,Miss,Adult
405,0,2,M,34.0,0,21.0,S,2,Mr,Adult
406,0,3,M,51.0,0,7.75,S,1,Mr,Adult
407,1,2,M,3.0,0,18.75,S,3,Master,Child
408,0,3,M,21.0,0,7.775,S,1,Mr,Adult
409,0,3,F,28.0,0,25.4667,S,5,Miss,Adult
410,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
411,0,3,M,28.0,0,6.8583,Q,1,Mr,Adult
412,1,1,F,33.0,1,90.0,Q,2,Miss,Adult
413,0,2,M,28.0,0,0.0,S,1,Mr,Adult
414,1,3,M,44.0,0,7.925,S,1,Mr,Adult
415,0,3,F,28.0,0,8.05,S,1,Mrs,Adult
416,1,2,F,34.0,0,32.5,S,3,Mrs,Adult
417,1,2,F,18.0,0,13.0,S,3,Miss,Adult
418,0,2,M,30.0,0,13.0,S,1,Mr,Adult
419,0,3,F,10.0,0,24.15,S,3,Miss,Teenager
420,0,3,M,28.0,0,7.8958,C,1,Mr,Adult
421,0,3,M,21.0,0,7.7333,Q,1,Mr,Adult
422,0,3,M,29.0,0,7.875,S,1,Mr,Adult
423,0,3,F,28.0,0,14.4,S,3,Mrs,Adult
424,0,3,M,18.0,0,20.2125,S,3,Mr,Adult
425,0,3,M,28.0,0,7.25,S,1,Mr,Adult
426,1,2,F,28.0,0,26.0,S,2,Mrs,Adult
427,1,2,F,19.0,0,26.0,S,1,Miss,Adult
428,0,3,M,28.0,0,7.75,Q,1,Mr,Adult
429,1,3,M,32.0,1,8.05,S,1,Mr,Adult
430,1,1,M,28.0,1,26.55,S,1,Mr,Adult
431,1,3,F,28.0,0,16.1,S,2,Mrs,Adult
432,1,2,F,42.0,0,26.0,S,2,Mrs,Adult
433,0,3,M,17.0,0,7.125,S,1,Mr,Teenager
434,0,1,M,50.0,1,55.9,S,2,Mr,Adult
435,1,1,F,14.0,1,120.0,S,4,Miss,Teenager
436,0,3,F,21.0,0,34.375,S,5,Miss,Adult
437,1,2,F,24.0,0,18.75,S,6,Mrs,Adult
438,0,1,M,64.0,1,263.0,S,6,Mr,Adult
439,0,2,M,31.0,0,10.5,S,1,Mr,Adult
440,1,2,F,45.0,0,26.25,S,3,Mrs,Adult
441,0,3,M,20.0,0,9.5,S,1,Mr,Adult
442,0,3,M,25.0,0,7.775,S,2,Mr,Adult
443,1,2,F,28.0,0,13.0,S,1,Other,Adult
444,1,3,M,28.0,0,8.1125,S,1,Mr,Adult
445,1,1,M,4.0,1,81.8583,S,3,Master,Child
446,1,2,F,13.0,0,19.5,S,2,Miss,Teenager
447,1,1,M,34.0,0,26.55,S,1,Mr,Adult
448,1,3,F,5.0,0,19.2583,C,4,Miss,Child
449,1,1,M,52.0,1,30.5,S,1,Other,Adult
450,0,2,M,36.0,0,27.75,S,4,Mr,Adult
451,0,3,M,28.0,0,19.9667,S,2,Mr,Adult
452,0,1,M,30.0,1,27.75,C,1,Mr,Adult
453,1,1,M,49.0,1,89.1042,C,2,Mr,Adult
454,0,3,M,28.0,0,8.05,S,1,Mr,Adult
